User,Rating,Date,Title,Comment
alicej-13706,POS,12 January 2020," Why people should watch foreign films!
","The movie Parasite is one of the many films that reinforce why people should give up this ridiculous thing of not watching foreign films. People are so scared of subtitles that they are missing out on some of the best films ever made. After 5 minutes of subtitles you get used to it and don't even realise you're reading.Anyway back to this movie. Parasite is a fantastic film that really has no set genre as you will experience a drama, thriller, romance and horror all in one! Unlike most films you actually can sympathise with 99% of the characters even if they are seen as more of a villain. I wont give anything away but I will say that Parasite is a must watch and one of the best movies of 2019!"
kingkass,POS,14 January 2020," It's nature.
","This film shows humanity in all its glory. We can try to claim the rich are evil and the poor deserve better but these are delusions we create to make us feel better. People are terrible. They are selfish. They are greedy. They are unkind. It's part of human nature. No matter how much you have, or how little, humanity still exists, and humanity is the problem.All the problems in the world that make us suffer day to day are caused in the end because we are human. Nothing we can do about it.The movie was good. Lol."
royalsharon66,POS,11 January 2020," Best movie
","This Korean-language movie was such a contrast with the drivel Hollywood churns out. The story was great, the acting was great, and the director maintained tight control throughout. I must see more of Mr. Bong Joon Ho's work."
FrenchEddieFelson,POS,9 June 2019," Class struggle. After Karl Marx and Victor Hugo, here is Joon-ho Bong
","This cinematographic gem has been recently rewarded by the prestigious Palme d'Or at the Cannes Festival. If I have one and only one advice to give you: go savor this fabulous movie with a strict minimum of information! Indeed, this film might schematically be split in two parts, the second one being quite surprising and unpredictable. The script is excellent and the casting is globally sumptuous, especially the gorgeous Yeo-jeong Jo for whom I may confess I have a crush.As a postscript, an anecdote certainly insignificant but literally astonishing when you're French: in the middle of the film, the proletarian family gives itself up to an orgy, the coffee table being covered with manifold dishes including two French cheeses as industrial as cheap: « Le rustique » and « Bresse bleu ». Unbelievable!"
admichalk,POS,11 January 2020," So many twists and turns I got whiplash
","I thought I knew what was happening but it turns out I didnt even know what I didnt know.
Cinematography was so well done. Comedy relief at the exact moments it needed it. My stress levels at a max the entire last quarter I had to physically cover my gaping mouth with my hand."
vialactea,POS,16 February 2020," best 2019 movie????
","Good movie, interesting story line, but never in a million years could win a oscar for best movie of the year...Political decision for sure! that's the world we live in unfortunately."
michaeltrivedi,POS,16 January 2020," Great
","I tried to watch this movie once, and faded out after the first ten minutes. It's surprising too, as the first scenes with the slacker family were very, very funny and entertaining. It reminded me of the beginning of Old Boy in a way. Upon my second viewing, I was stunned. Fully engrossed, and entertained all the way through. This is perhaps the best film of the year (I haven't seen Little Women or 1917 yet).The story is about a slacker family who stealthy make their way into the lives of a rich family by becoming their employees. The rich family doesn't know they are related. The poor family discover a man living in the basement, who happens to be the former maids husband. Violence ensues, and the movie just becomes more detailed, fun, thrilling, and entertaining all the way through.Usually movies tend to drop out near the end, or close to the climax. I find I usually get bored at this point. This film doesn't do that. It almost reminds me of Fight Club with its dark humor and thrills. In fact, that's the only movie that comes to mind, though they are very different films. Parasite does have its own take on class, which is very prevalent. It seems the rich and poor are very similar, with the middle class not even being presented in the movie.Overall, this is a tremendous movie. I'm glad I gave it a second chance. Probably the best movie of the year.7 stars"
elangamban,POS,20 March 2020," Not upto the hype
",Movie is over rated. Its an average movie. Don't know why it created this much buzz.
elephantus-13015,POS,26 January 2020," Best film I've ever seen
","Had a free screening at our campus. What I like is that it could have been mean spirited at any point, but it seems to have compassion for every party involved, no matter their transgression you understand and sympathize with them. This is way different than current day films, such as Knives Out or the other nominees where the social critique involves mockery and derision of the 'villains'. I wonder if it's the difference between hollywood white privilege vs korean cinema coming from an entirely different position of the socio economic hierarchy."
mgd_m,NEG,21 January 2020," Just read...
","Parasite is a unique movie. I don't know if it's a true masterpiece, or one of a kind (indeed), or just a piece of masterful craft. Bong does everything he wants while telling his stories, and he's the only one I know who can do that aside from Tarantino. The plus here is a very sound moral. I will think a lot about Parasite, and maybe watch it again. This is the first time in 100+ reviews that I don't feel I can correctly rate a movie, but surely it is in the 8 to 10 stars range."
snow-tim,POS,27 October 2019," What does this movie mean?
","So, you think you're going to ""fast track"" your way to the good life huh? By taking a short cut here, a little lying and deceiving there.Well maybe.. it seems to work for some, why not for you? (I mean how else did they get there, right? By being honest? ..oh please!)So you decide to take the ""easy"" road. One lie opens one door, then another, and yet another.Things seem to be going so well for you. You're getting ahead without having to make any real sacrifices. All of this unearned wealth is just within your reach.
But one night...~~~~~LIGHTNING! ~~~ THUNDER! ~~~~~...comes a flood.And the entire foundation your life is built on, washes away.Turns out all those lies, short cuts, and easy way outs were not good building material.You had the wrong plan. You walked the wrong path. And you made the wrong sacrifices.You thought you were taking the easy way out, the short cut.Look at how wrong you were.In the end, you lost everything: Your sister. Your father. Your home. Your freedom. Your health.Tell me again how this was suppose to be the easy way out?My god... would it not have been easier to have made the proper sacrifices right from the start?I guess we all have to learn are lessons somehow.So today I have a new plan. I will go to university, study, graduate. I will get a job and work very hard. I will become rich. And I will get back the house. And one day, you will walk out of the basement father, and we all be reunited in the sunshine of the courtyard.Until then."
b_velkova,NEG,22 November 2019," What's more disgusting than actually being disgusting?
","A family of incompetents who struggle to fold a pizza carton miraculously transform to ingenious con artists and infiltrate themselves into a rich home where they successfully pretend to deliver services they have no clue of. The inhabitants of the house, on the other hand, are so incredibly stupid that they don't notice anything is wrong except for some wierd smell. But the impostors refuse to be judged by their smell! A bloodbath follows. The end. Standing ovation at Cannes, Palme d'Or, 8,6-star rating on IMDB...
It's not just a bad story, no, it's actually the perfect story based on the wrong belief that if you are poor, you cannot be expected to be good, and if you are rich, you are never good enough. Naturally, stereotypical characters follow and I couldn't make myself care about any of them. The only moments when the poor father showed some deepness were during his monologue about living with no plans and when he checked his smell after he heard the rich father complaining about it. Otherwise, all family members were interested only in filling their bellies with junk and had no reservations in causing any kind of harm to that end. Now, I know I'm supposed to dislike the rich family, but although I didn't like them either, I don't see what's so wrong about them. But the urge in society to favor the have-nots, no matter what their actual traits might be, is so strong that most of the reviewers take their side, while some even find them ""lovable"". And that I find even more disgusting than actually being disgusting.Post Oscars Addition:
Technically Parasite is a great movie, no, really. But the Oscars are not about that. Nor it is why anybody watches movies. People are interested in stories and these awards are all about politics. Now, the fact that this movie won most of the major Oscars is not that surprising. Could be because it is a foreign movie, could be because it is a marxist movie, could be both, as far as they are both valid arguments for leftist Hollywood. What concerns me is that it looks like the whole world is praising it happening and I'm sure that most fans don't care about the art of storytelling or directing. I think they believe what Bong Joon-ho ultimately shows us: that nobody is deserving, that we are all a bunch of idiots, clashing in a stupid game for money. But think about that: someone did build the house where we all want to live in, right? And that must be someone with some knowledge, skills, and integrity, otherwise the roof would have collapsed, wouldn't it? Does everybody really find it fair to deny all this?"
eoghanorourke-00011,POS,9 February 2020," Who the Parasite really was:
","We find the prosperous Park family to be the occupants of a slick, scando-sheek home in Seoul, Korea.
Mr Park is a fantastic provider for his family; in quintessential Korean fashion; as a tech entrepreneur. His wife and two children seem not to be in want of anymore than they already have. Despite this, his family are precariously vulnerable to social exploitation. His youngest son, who 'saw a ghost', is now subject to seizures. His daughter is a hopeless English language student who only sees her tutor classes as an opportunity to get a boyfriend. Finally his wife is highly impressionable and not fully competent to tackle the issues of her two children.
In addition to whatever jobs he has created at work, Mr Park employers a driver, housemaid and English tutor for himself, his daughter and his wife respectively. All of these seem to be happy in their employment.The Kims are another family of four but, for reasons we are not sure of, live in very basic accommodation in a poor part of the city. None of the family have solid jobs but it is not explained whether this is due to fecklessness or sheer bad luck despite best efforts. Lack of ability seems unlikely in their case as we see that they are very clever, albeit in a Machiavellian way. For example, they are happier to trick their way into getting paid for doing a bad job then actually folding the pizza boxes correctly.The English tutor at the Parks home recommends to the son of the Kims to temporarily replace him as tutor to the daughter of the Parks on the one condition that he leaves her alone for him to ask out when he returns.
This soon snowballs into all members of the Kim family shamelessly exploiting the Park family and their employees.
Their crimes are as follows:Forging an official university document and using it to gain employment.Exploiting and encouraging the mis-diagnosed mental illness of a young boy.Getting two people fired by destroying their reputations.Stealing food and alcohol.Murdering Mr Park because he didn't like the smell of a man who:Lived underground for 4 yearsHad a barbecue sword of meat sticking out of himWas deadThe Parks weren't perfect but nowhere did they claim to be. What they were was a respectable family who contributed to society in a positive manner.
The Kims were a clever but immoral family who continually made bad decisions at key moments, bringing their downfall on themselves.Unfortunately the parasite was so entrenched that once its downfall became the downfall of the host."
arisnaldonald,POS,27 June 2019," No wonder this gem got almost 10 mins standing ovation at Cannes.
","Oh man, what can I say...
How do I describe this jaw-dropping masterpiece in just few sentences?PARASITE (not mistaken with that outstanding anime 'Parasyte') is a socially conscious themed film that masterfully wrapped in comedy and thriller. It's an exciting and surprising ride from start to finish. The tone shifting in the second part of the film is done brilliantly. Eventhough there's so much stuff happening, Bong didn't lose control of his storytelling.Most of the scenes are sure very relatable for many in real life. On top of that, the ensemble cast (featuring my favorite Song Kang Ho) deliver a top notch Oscar-worthy performance.PARASITE is the worthy winner of this year Palme d'Or (and I also hope it will do well at the Oscar - Best Picture worthy? for sure!)It's the best film of the year, one of the best I've seen in this decade and for me it's arguably one of all time classic."
jimbikerider,POS,15 January 2020," Parasite and Schizophrenia
","An incredibly complex and multifaceted film that takes the audience to a place they have never been; inside the mind of a person afflicted with an incurable mental disease: Schizophrenia.
There is a legend/reality/ myth among mental health providers that one fifth of all cases of Schizophrenia is caused by a parasite from contaminated water.
Rarely documented as hard scientific fact; it actually fits in quite well with the Masterful presentation of Parasite.
Throughout the movie, one cannot escape the feeling of surrealism. That things don't quite seem possible to pull off and yet they do, with the help of a young man, IMHO that has has all the tell take signs of the disease: overrinflated worth, that he so desperstely desires and concocts by being selected by an acquaintance (of upper class) bypassing well trusted friends to venture into the slums of South Korea to give the young man his trust any honor across class lines to teach a wealthy girlfriend of his, despite the la c k of college training but perceived mastery in the English language through delusion,
Validated by a near perfect counterfeit degree from Princeton University, verifying his talents.
Similarly, his Mother as the rest of the family enslaved in Making a living through folding pizza boxes.
In his fantasy, each family member assumes the role of an important support system for a family of the elite class.( In reality, would never happen, and for his entire family to be get positions and be payed well through a scheme, satisfies his fantastical delusion of wealth and success for each family member. What could be better?
A symbolic rock taken ( but gifted in the mind of the actor) from the home of great distinction, must be placed in the exact location it was taken from to complete the fantasy
Clues were given throughout the movie, just enough to have you scratching your head on the possibility of such an incredible sequence of events that only really made sense if it was only playing out in his mind and not reality.
Paranoia slips in with the hint that the family they are scheming somehow knows their plans of taking over the house. For example his imaginary girlfriend not looking all the way under the bed where he was hiding in one seen, as he covered his eyes as to make the discovery go away because of the mental trauma associated with such humiliation and embarrassment.
The Upper class father's suggestion that the panties left in his car made no sense to him, yet he blamed his driver of poor conduct and infidelity anyway, as a most revered and trusted employee. And on it goes.
The young boy, who needed art therapy and special treatment was actually the son of the outcasts as a young boy, suffering a seizure in the first grade, common for Central Nervous System Parasitic infections.
The final revelation occurred at the end of the movie, completing his story with a letter to his father, that he will eventually come and save him.
However, earlier in the movie, their home and the entire town was destroyed by s freak flood, with contaminated water that displaced the entire community into a shelter.
Yet, the basement, the glass, and the condition of the living space, filtered through low lighting, was still intact, as was he, holding on to the completed Memoir of his personal experience that was as real to him as day and night to you and I, but only rang true through his tortured thoughts from a terrible disease: Schizophrenia.
The reader is encouraged to do a search of two words: parasite/ Schizophrenia, for more expanded descriptions of Schizophrenia and the legend of Parasitic causes."
