User,Rating,Date,Title,Comment
ben-snooks,NEG,6 August 2019," Nothing happens for the first two hours
",Firstly I'm a big film buff. I watch on average one film per day crossing genres and countries. I watched the first two hours then turned this movie off and went to bed. Seriously two hours to cover what should only take about 40 to 50 mins. Normally films have twenty minutes to set the story and introduce the characters. This film spends one hour reintroducing characters from the other movies then the characters decide what to do. Then another hour of idle chit chat. This movie is full of itself. I'm so glad I didn't bother going to the cinema to watch this. I'm sure there was going to be some action at some point but I ran out of patience.
Freedom060286,NEG,20 August 2019," Too Predictable
",There was nothing unexpected in this one. Of course the characters that were dead somehow came back to life. We all knew that had to happen before we watched it.Obviously this kind of movie is made for children and for adults with the minds of children. But I can't imagine any normal adult enjoying it.
WebHead62,NEG,3 June 2019," Terrible Ending to a 22 movie Arc
","I want to start out saying I love all the Marvel movies leading up to Endgame. I loved Infinity War because it seemed to be setting up a terrific conclusion to the original 6 Avengers story arc's. I was very wrong. Let's start with Tony's Arc. In Ironman 1 Tony is told you are a man who has everything and nothing. In Ironman 2 we find out his dad was distant and cold to him, and in ironman 3 he is getting panic attacks because he thinks it's up to him to save the world from all threats. So in Endgame he finally gets everything that's important. He becomes a Dad and husband and... was proven right by having to die saving the universe himself? Why? Because we are supposed to believe Tony can't retire? Of course he can. Didn't he say to Steve in AoU ""isn't that why we fight so we can end the fight? So we can go home?"" Tony wanted to retire. Tony's arc should have been about being a good dad like his father never was and finally becoming the man who has everything important. He should have learned that he doesn't have to do it all on his own. Team work should have won the final battle. What's the point of finally getting all the Avengers together if it's left to one man to sacrifice himself to save everyone? Tony's ending was not satisfying and it was not the end they have been building towards from the beginning. Now let's talk about the real tragedy in this movie. Steve Rogers character. We know he is a good man who always does what he believes is right. He calls Home the Avengers facility and says he can't ignore a situation that's headed south. He loved Peggy but found out she had gotten married and had a happy life and he tried moving on with her niece. This storyline was ignored which was ok because most of Steves storyline in the MCU has been about saving Bucky. You remember him right? Steve didn't seem to for the entire movie. Instead of thinking about Sam and Bucky and all the people they are going to save if their plan works when they find Thanos in the beginning of Endgame Steve's just looking at the Peggy compass that he hasn't looked at in at least 3 movies. Why? So we can all forget about his actual character development and think it's a great ending when he goes back in time to be with Peggy. I'm just going to ignore all the plot holes associated with Steve going back in time and just focus on the character assasination this commits. This means the same guy who says he can't ignore a situation headed south, who never ran away from a fight, who said I'm with you till the end of the line"" to Bucky is just going to live out his life in the past never saving his friend from being a brain washed assassin, never saving his other friends parents from being killed by his best friend, never stopping any of the thousands of bad things he would know are going to happen? That's not Steve. The writers never let Steve get a personal life. He never found someone after Peggy and he never had anything except the Avengers. He was the one that was set up to die. The final battle starts with what is probably the most epic scene in comic book movie history but fizzles our soon after. Doctor Stranges plan makes no sense. How was this the only way they could win? Why couldn't Captain Marvel snap? Why couldn't captain Marvel just fly the gauntlet to another galaxy? Why couldn't Doctor Strange open a portal and drop the gauntlet on some random planet? In Infinity War why didn't Doctor Strange use his portal to go to Wakanda and tell Thor to aim for the head. The characters powers were very inconsistent for the first time in the MCU. Why was Thanos with no infinity stones able to fight Mjolnir and Storm Breaker but Thanos with all 6 stones would have lost to Storm Breaker if Thor would have just aimed for the head? Why can Captain Marvel fly through a huge spaceship 10 times but she gets knocked out after one punch from Thanos? Why does no one attack Thanos at the same time as someone else? Where's the big team up? You would think getting everyone together for the first time would have been the only way to defeat Thanos, but you'd be wrong because it's all about Tony stark. Even Steve picking up Mjolnir means nothing really because it has no affect on the end of the battle. Thor and Steve could be taken out of this movie and nothing would change. They do nothing of importance. This movie seems so disconnected from Infinity War that it's boggles my mind how this movie has the same writers and directors as Infinity War and it was filmed at the same time as Infinity War. How can you get one so wrong and the other so right? It seems clear to me that the writers and directors decided that Tony was dying and Steve was going back to the past no matter how much their story suffered from doing it. It's like they had a check list of things to put in the movie without actually making a good story that fit in with the rest of their movies. This is by far the most dissapointing ending to anything I've ever looked forward to."
Gmichael1977,NEG,5 June 2019," How is this 8.8
","1;2...Terrible!
Scrap the whole thing...try again!"
camperswag,NEG,14 August 2019," Typical bad superhero film
","I cant believe people think this is 8.8, in a normal world this film is around 6, Infinity war is around 7, and some teenagers watch this at the cinemas and no one remembers it after a month."
tiwanaks,NEG,7 June 2019," Total Rubbish
","I watch probably 1 movie on an average every week from last 3 years and have watched a lot of boring movies but this is the first time I could not watch a movie to the end
Can't be more boring movie then this"
adrian-ortiz70,NEG,11 August 2019," Cash Grab
","This movie was disappointing! It didn't make sense to kill off Thanos in the first 10 min of the movie.The whole timeline opens up to many plot holes.You can tell Captain a marvel was an afterthought. They literally had he on the movie for 15 min runtime!This movie could have been saved if:1. No Time Travel
2. More Captain Marvel
3. Less Grieving scenes, (We get it)
4. More Actjon!!!"
msharma-87751,NEG,18 May 2019," Zero story
","The movie is just very bad writing and is an epic failure for it lacks a coherent acceptable digestible fathomable sensible reasonable story or plot .. just sucks so bad that it hurts
So much is wrong that I can't begin .. but for some reason people are lying .. even critics"
Ernst-noto,NEG,6 August 2019," Disappointing
","After 21 other pretty great and fun movies, these last two Avengers movies are such a let down . After Infinity I did fest that time travel would be introduced, which is so lame and irritating. Very disappointing!"
shaym_levy,NEG,12 May 2019," It looks great but very plastic and no real content and the story is bad
","I don't know if I would like to go to another marvel film after that - the writing was really bad!
Why did Captain Marvel didn't do that instead of Iron Man? She is pure energy...
Why did Dr. Strange didn't opened a huge portal for Thanos and took them elsewhere?
Or more simply why no one let Strange the time-stone and he just make a milion years go by on Thanos army.
What happened to Thanos' ideology of saving the universe? Suddenly he just wants to destroy it?"
pmama69,NEG,17 August 2019," Pathetic
","Boring. Slow. Badly written, poor story.... worst of a bad bunch"
bizlats,NEG,6 August 2019," Marvel Studios drops the ball Again
","What have they done wrong with this movie ""everything""
They have turned Thor & Hulk into joke characters the whole movie feels hurried and confusing the CGI is poor on more than one occasion a lot of MCU characters are more cameos than necessary.I enjoyed the early Marvel movies but the most recent ones are ruining the franchise how they made so much £££ out of this is baffling it only gets more confusing the longer you watch it.I am not sure why so many cameos were necessary as Captain Marvel was all that was needed."
SusieQCP,NEG,28 June 2019," Just so disappointed!
","I expected so much from this film but just feel so disappointed by it. A poor and incoherent story with so many contradictions within it plus a total waste of my favourite character - amongst others (like Thanos himself). I did go and rewatch it in the cinema a second time and realised that, without all the excitement and expectation I went in with the first time I was just really really bored.It did have some nice ""moments"", especially the anticipated big fight towards the end. Some characters get a good inning - love Antman and, of course, Iron Man but this is my least favourite MCU film.And the ending...........sigh!"
kugami,NEG,16 September 2019," Good but over-rated
",A good movie for 12 years old kids! Super heroic movies don't belong in top 250 unless they're Nolan's dark Knight or philipses Joker. Marvel uses politics to win just like all other over-rated movies we're seeing these days. Cheers to the pure old cinema.
danielaustin-735-484497,NEG,21 August 2019," What a disappointment!! Really poor.
","After infinity war which IMO is the best of all the avenger movies, I was really looking forward to the conclusion.Well, what a disappointment. The story made no sense at all. There was no character progression with Thor almost non existence! How can this be with him being the almighty god of thunder commanding the bi-frost in infinity war?!That pace or the movie was slow and boring, the acting lethargic with a real lack of fun.I found myself forwarding large chunks of this movie just to get to something good!The ending was a total shambles and pathetic! Total Hollywood cheese which really didn't work.They will no doubt make another Captain America movie so why end it like that? Passing the title of CA to someone else when they don't even have superpowers?!!The more I think about it the worse it is.Just a money making ending with no thought or direction.Should have left it with infinity war."
